ep_serie;ep_temp;titulo;direcao;roteiro;exibicao;audiencia
34;1;"""Box Cutter""";Adam Bernstein;Vince Gilligan;17 de julho de 2011;2.58
35;2;"""Thirty-Eight Snub""";Michelle MacLaren;George Mastras;24 de julho de 2011;1.97
36;3;"""Open House""";David Slade;Sam Catlin;31 de julho de 2011;1.71
37;4;"""Bullet Points""";Colin Bucksey;Moira Walley-Beckett;7 de agosto de 2011;1.83
38;5;"""Shotgun""";Michelle MacLaren;Thomas Schnauz;14 de agosto de 2011;1.75
39;6;"""Cornered""";Michael Slovis;Gennifer Hutchison;21 de agosto de 2011;1.67
40;7;"""Problem Dog""";Peter Gould;Peter Gould;28 de agosto de 2011;1.91
41;8;"""Hermanos""";Johan Renck;Sam Catlin & George Mastras;4 de setembro de 2011;1.98
42;9;"""Bug""";Terry McDonough;Moira Walley-Beckett & Thomas Schnauz;11 de setembro de 2011;1.89
43;10;"""Salud""";Michelle MacLaren;Peter Gould & Gennifer Hutchison;18 de setembro de 2011;1.80
44;11;"""Crawl Space""";Scott Winant;George Mastras & Sam Catlin;25 de setembro de 2011;1.55
45;12;"""End Times""";Vince Gilligan;Thomas Schnauz & Moira Walley-Beckett;2 de outubro de 2011;1.73
46;13;"""Face Off""";Vince Gilligan;Vince Gilligan;9 de outubro de 2011;1.90
